number_of_threads,theoretical_speed_up,real_speed_up,max_speed_up
1,1.0,1.0,20.732431267903287
2,1.9079716403864206,1.6048948110248862,20.732431267903287
4,3.4943628040238215,1.8474597631976553,20.732431267903287
8,5.980703550329798,1.7978500183534174,20.732431267903287
16,9.283412533543991,1.7971826462908276,20.732431267903287
32,12.824407906467883,1.7363881370866845,20.732431267903287
64,15.84661499796238,1.9170543115478293,20.732431267903287
128,17.96322702818864,1.82736667594422,20.732431267903287
