matrix_dimension,parallel_time,serial_time
2,38.901567459106445,12.04681396484375
4,62.20197677612305,13.424396514892578
8,65.26899337768555,12.586832046508789
16,66.66278839111328,12.822389602661133
32,61.312198638916016,27.036190032958984
64,221.49014472961426,50.83966255187988
100,724.2224216461182,154.1919708251953
200,6069.197177886963,1289.0431880950928
300,24376.47581100464,5545.43399810791
400,220071.39945030212,17746.21558189392
