number_of_threads,theoretical_speed_up,real_speed_up,max_speed_up
1,1.0,1.0,6.148553567560088
2,1.720223121908754,1.6842780487663942,6.148553567560088
3,2.2636730003363565,2.0591543929703153,6.148553567560088
4,2.6883172392900585,2.36395922660026,6.148553567560088
8,3.740976396205104,3.075246793524195,6.148553567560088
16,4.651706168305635,3.6208759179798577,6.148553567560088
32,5.2964030969361255,3.8892824516616513,6.148553567560088
64,5.690754296680664,4.15952269053292,6.148553567560088
128,5.9108029006740725,4.268192259756965,6.148553567560088
