matrix_dimension,parallel_median_time,serial_median_time
2,12.85548210144043,4.493618011474609
4,13.585547606150309,4.785219828287761
8,14.253338177998861,5.2153269449869795
16,25.25632534552058,5.003732278806354
32,76.123206615448,9.726146697998047
64,353.4434895515442,59.57259750366211
