number_of_threads,parallel_median_time,parallel_error,serial_median_time,serial_error,matrix_dimension
1,7.681568463643392,0.26401897310748196,3.83146603902181,0.16952690722621067,10
2,10.382141385759626,0.47440148683139266,4.8554454530988425,0.1746838429343783,10
4,16.384541988372803,0.3391817766618313,4.515926043192546,0.18432077403809416,10
8,24.54507350921631,0.4795525941531438,5.71789060320173,0.430990047598837,10
16,43.15677442048725,0.4990557409148894,6.5213981427644425,0.292989394020848,10
32,83.47478707631429,0.4902372227619546,4.288983345031738,0.06348827427696709,10
