number_of_threads,theoretical_speed_up,real_speed_up,max_speed_up
1,1.0,1.0,5.378901573803706
2,1.6864663959993647,1.6429876469417644,5.378901573803706
3,2.1868708452080496,1.9921976792203389,5.378901573803706
4,2.567831368551039,2.2557905683065385,5.378901573803706
8,3.47617374076974,2.7459173075609953,5.378901573803706
16,4.223114031400457,3.2621843945344,5.378901573803706
32,4.731447155228705,3.8194463453929557,5.378901573803706
64,5.034443268321247,3.7319882205319015,5.378901573803706
128,5.200975331125732,3.978574319393439,5.378901573803706
