number_of_threads,theoretical_speed_up,real_speed_up,max_speed_up
1,1.0,1.0,6.330170151549392
2,1.7271550375161133,1.682124771521387,6.330170151549392
3,2.2797265973151806,2.057254651451971,6.330170151549392
4,2.713849822127065,2.363700838511743,6.330170151549392
8,3.7990033612968546,3.0822134547658586,6.330170151549392
16,4.748331668485695,3.538495586043911,6.330170151549392
32,5.426319891584343,3.927551384544516,6.330170151549392
64,5.843500582986919,4.135334197467682,6.330170151549392
128,6.077107517955916,4.250893535522227,6.330170151549392
