number_of_threads,theoretical_speed_up,real_speed_up,max_speed_up
1,1.0,1.0,6.916617373040994
2,1.7473668480163336,1.7177339592362313,6.916617373040994
3,2.32709908376906,2.152307197648475,6.916617373040994
4,2.7899099512881453,2.394193034635602,6.916617373040994
8,3.976033651073706,3.028578515191725,6.916617373040994
16,5.049405028386491,3.6468633352607864,6.916617373040994
32,5.837328624538126,3.9099078200997486,6.916617373040994
64,6.331306183089306,4.41133932760488,6.916617373040994
128,6.611031857854215,4.760813767005522,6.916617373040994
