number_of_threads,parallel_time,serial_time,matrix_dimension
1,3014.0702724456787,565.4735565185547,100
2,2426.795244216919,565.4523372650146,100
3,1894.866704940796,563.2123947143555,100
4,1854.8204898834229,556.3979148864746,100
8,1888.5068893432617,557.5361251831055,100
16,1852.5164127349854,568.3765411376953,100
32,1889.2443180084229,566.1270618438721,100
64,1901.8256664276123,567.3844814300537,100
128,1874.574899673462,557.4836730957031,100
