number_of_threads,theoretical_speed_up,real_speed_up,max_speed_up
1,1.0,1.0,5.430545030082008
2,1.6889843721420152,1.6583070331093905,5.430545030082008
3,2.1925222206837525,1.9789593216930788,5.430545030082008
4,2.5766044831999113,2.2308205792309073,5.430545030082008
8,3.494968252439487,2.795964447097887,5.430545030082008
16,4.252883139112386,3.3658512333998454,5.430545030082008
32,4.770102693196876,3.850384224566289,5.430545030082008
64,5.078943646765691,3.6534879901726303,5.430545030082008
128,5.248862818563502,4.353351156258038,5.430545030082008
